# Master per-run downstream results: one row per (method, seed).
# val_bpb/train_bpb (6-dec from run logs), core (DCLM CORE = centered mean of 22 tasks),
# then the 22 per-task CENTERED accuracies. All paper downstream tables derive from this.
method	seed	val_bpb	train_bpb	core	hellaswag_zeroshot	jeopardy	bigbench_qa_wikidata	arc_easy	arc_challenge	copa	commonsense_qa	piqa	openbook_qa	lambada_openai	hellaswag	winograd	winogrande	bigbench_dyck_languages	agi_eval_lsat_ar	bigbench_cs_algorithms	bigbench_operators	bigbench_repeat_copy_logic	squad	coqa	boolq	bigbench_language_identification
bpe_init_f1.15	53	0.712617	0.702145	0.266324	0.405430	0.104393	0.464052	0.588103	0.176337	0.260000	0.108313	0.480958	0.218667	0.431981	0.406758	0.347985	0.108129	0.150000	0.092391	0.404545	0.180952	0.000000	0.456102	0.335839	-0.035732	0.173927
bpe_init_f1.15	54	0.711883	0.701441	0.261094	0.406758	0.113840	0.470892	0.578563	0.202503	0.340000	0.038698	0.494015	0.237333	0.430235	0.406493	0.296703	0.104972	0.172000	0.059783	0.429545	0.171429	0.031250	0.464522	0.347989	-0.227265	0.173817
bpe_init_f1.15	55	0.712175	0.701723	0.275475	0.400385	0.118092	0.469957	0.593715	0.183163	0.360000	0.154382	0.488575	0.237333	0.432758	0.405165	0.347985	0.153907	0.156000	0.076087	0.423485	0.161905	0.000000	0.469820	0.334335	-0.084822	0.178218
bpe_init_f1.15	56	0.712058	0.701486	0.263582	0.402642	0.091167	0.472861	0.584175	0.207053	0.400000	0.133907	0.485310	0.213333	0.434892	0.407820	0.274725	0.100237	0.136000	0.119565	0.426515	0.190476	0.000000	0.465847	0.338469	-0.257042	0.170847
bpe_init_f1.15	57	0.712687	0.702232	0.263934	0.395738	0.117619	0.474731	0.578002	0.180887	0.420000	0.103194	0.490751	0.229333	0.430041	0.404368	0.274725	0.128650	0.174000	0.092391	0.356061	0.166667	0.000000	0.443236	0.336716	-0.166908	0.176348
bpe_init_f1.15	58	0.712178	0.701686	0.267315	0.406094	0.119509	0.468235	0.578563	0.199090	0.400000	0.060197	0.489663	0.234667	0.431593	0.405298	0.347985	0.120758	0.149000	0.027174	0.448485	0.157143	0.000000	0.450804	0.340724	-0.131498	0.177448
bpe_init_f1.15	59	0.711861	0.701384	0.275897	0.403306	0.111006	0.486197	0.580808	0.191126	0.380000	0.023342	0.494015	0.237333	0.434892	0.410874	0.347985	0.138121	0.164000	0.103261	0.385606	0.185714	0.031250	0.455440	0.349618	-0.024465	0.180308
bpe_init_f1.15	60	0.712479	0.702067	0.259265	0.405298	0.113368	0.478126	0.578002	0.193402	0.280000	0.022318	0.487486	0.242667	0.426354	0.408086	0.296703	0.153907	0.132000	0.114130	0.396970	0.176190	0.000000	0.476632	0.332081	-0.191856	0.181958
bpe_init_f1.15	61	0.712573	0.702133	0.252551	0.398526	0.128956	0.476797	0.573513	0.167235	0.320000	0.050983	0.487486	0.226667	0.435086	0.403970	0.369963	0.146014	0.128000	0.065217	0.417424	0.157143	0.031250	0.463765	0.344858	-0.418799	0.182068
bpe_init_f1.15	62	0.712192	0.701633	0.262876	0.403572	0.113840	0.482407	0.576319	0.201365	0.380000	0.043817	0.494015	0.226667	0.430429	0.416318	0.384615	0.147593	0.149000	0.070652	0.394697	0.157143	0.000000	0.448723	0.340849	-0.268308	0.189549
bpe_init_f1.15	63	0.712169	0.701714	0.252626	0.400651	0.111006	0.484966	0.594837	0.205916	0.300000	0.012080	0.487486	0.240000	0.426160	0.406493	0.260073	0.152328	0.157000	0.125000	0.404545	0.200000	0.000000	0.489688	0.332206	-0.405923	0.173267
bpe_init_f1.15	64	0.712084	0.701652	0.260338	0.401182	0.121871	0.482899	0.586981	0.204778	0.380000	0.058149	0.478781	0.237333	0.432564	0.402377	0.318681	0.120758	0.148000	-0.005435	0.390909	0.185714	0.000000	0.441816	0.335463	-0.176565	0.181188
bpe_init_f1.15	65	0.712478	0.701962	0.260368	0.399456	0.117147	0.477585	0.575196	0.170648	0.320000	0.088862	0.476605	0.216000	0.429653	0.405165	0.347985	0.114444	0.156000	0.152174	0.379545	0.152381	0.000000	0.470104	0.349743	-0.247385	0.176788
bpe_init_f1.15	66	0.712596	0.702035	0.268156	0.400651	0.116202	0.488263	0.571829	0.191126	0.320000	0.093980	0.478781	0.245333	0.431981	0.401713	0.399267	0.111287	0.152000	0.097826	0.378030	0.147619	0.031250	0.468874	0.344733	-0.146789	0.175468
